Date,BLK Equity,SPXT Index,H15T1Y Index
8/10/2000,33.625,2023.33,6.17
8/11/2000,33.313,2039.51,6.24
8/14/2000,33.5,2066.9,6.21
8/15/2000,33.375,2057.03,6.22
8/16/2000,33.688,2050.93,6.21
8/17/2000,34.75,2073.44,6.21
8/18/2000,34.625,2067.48,6.19
8/21/2000,34.875,2078.25,6.2
8/22/2000,35.375,2076.38,6.2
8/23/2000,34.75,2087.4,6.18
8/24/2000,35,2090.66,6.2
8/25/2000,35.313,2088.1,6.2
8/28/2000,35.313,2098.72,6.24
8/29/2000,38.125,2092.98,6.25
8/30/2000,38,2083.48,6.25
8/31/2000,41,2104.43,6.22
9/1/2000,41.688,2108.76,6.18
9/5/2000,41.5,2089.77,6.18
9/6/2000,40.438,2069.4,6.19
9/7/2000,36.625,2083.68,6.22
9/8/2000,37,2072.58,6.19
9/11/2000,38.625,2065.34,6.2
9/12/2000,38.875,2055.26,6.17
9/13/2000,38.938,2059.77,6.12
9/14/2000,38.625,2054.2,6.13
9/15/2000,38,2033.32,6.1
9/18/2000,38,2003.81,6.07
9/19/2000,38.375,2025.16,6.09
9/20/2000,38.25,2013.34,6.1
9/21/2000,36.5,2010.21,6.09
9/22/2000,34.625,2009.76,6.08
9/25/2000,35.625,1996.32,6.09
9/26/2000,35.313,1979.92,6.08
9/27/2000,34.75,1979.31,6.07
9/28/2000,33.563,2023.33,6.09
9/29/2000,32,1993.33,6.07
10/2/2000,33,1992.94,6.06
10/3/2000,35,1979.44,6.07
10/4/2000,35.125,1990.62,6.06
10/5/2000,36.813,1993.7,6.06
10/6/2000,37,1955.82,6.06
10/9/2000,37.375,1946.16,6.06
10/10/2000,37.75,1925.41,6.06
10/11/2000,36.063,1894.37,6.01
10/12/2000,35.875,1846.08,5.93
10/13/2000,38.625,1907.71,5.93
10/16/2000,39.875,1908.34,5.97
10/17/2000,38.75,1874.12,5.92
10/18/2000,41.938,1863.35,5.91
10/19/2000,40.75,1928.1,5.96
10/20/2000,42.063,1939.44,5.94
10/23/2000,41.375,1937.86,5.93
10/24/2000,39.5,1941.13,5.97
10/25/2000,40.5,1895.03,6.01
10/26/2000,40.813,1894.42,6.05
10/27/2000,42.438,1915.55,6.11
10/30/2000,42.5,1942.2,6.13
10/31/2000,42.625,1984.9,6.12
11/1/2000,42.375,1973.72,6.1
11/2/2000,44.25,1983.73,6.09
11/3/2000,43.688,1981.5,6.13
11/6/2000,43.625,1989.19,6.16
11/7/2000,43.688,1988.79,6.16
11/8/2000,43.5,1957.62,6.16
11/9/2000,44.25,1945.24,6.13
11/10/2000,44.125,1897.78,6.11
11/13/2000,42.5,1877.51,6.1
11/14/2000,43.375,1921.67,6.11
11/15/2000,45.125,1931.44,6.1
11/16/2000,46,1907.2,6.07
11/17/2000,46.563,1900.88,6.09
11/20/2000,44.875,1866.01,6.07
11/21/2000,41.75,1872.72,6.07
11/22/2000,41.5,1838,6.1
11/24/2000,42.5,1865,6.12
11/27/2000,43.125,1875.01,6.11
11/28/2000,43.875,1857.3,6.05
11/29/2000,44,1865.89,5.98
11/30/2000,43.625,1828.42,5.92
12/1/2000,43.813,1828.81,5.93
